9_0 Buchnera_aphidicola
48_0 Archangium_gephyra
52_0 Chondromyces_crocatus
69_0 Lysobacter_enzymogenes
192_0 Azospirillum_brasilense
195_0 Campylobacter_coli
197_0 Campylobacter_jejuni
199_0 Campylobacter_concisus
201_0 Campylobacter_lari
202_0 Campylobacter_mucosalis
210_0 Helicobacter_pylori
210_1 Helicobacter_pylori
210_2 Helicobacter_pylori
210_3 Helicobacter_pylori
210_4 Helicobacter_pylori
216_0 Helicobacter_muridarum
253_0 Chryseobacterium_indologenes
276_0 Thermus_filiformis
287_0 Pseudomonas_aeruginosa
292_0 Burkholderia_cepacia
292_1 Burkholderia_cepacia
292_2 Burkholderia_cepacia
294_0 Pseudomonas_fluorescens
294_1 Pseudomonas_fluorescens
294_2 Pseudomonas_fluorescens
294_3 Pseudomonas_fluorescens
294_4 Pseudomonas_fluorescens
294_5 Pseudomonas_fluorescens
294_6 Pseudomonas_fluorescens
296_0 Pseudomonas_fragi
303_0 Pseudomonas_putida
303_1 Pseudomonas_putida
303_2 Pseudomonas_putida
303_3 Pseudomonas_putida
303_4 Pseudomonas_putida
305_0 Ralstonia_solanacearum
316_0 Pseudomonas_stutzeri
316_1 Pseudomonas_stutzeri
316_2 Pseudomonas_stutzeri
330_0 Pseudomonas_pseudoalcaligenes
339_0 Xanthomonas_campestris
358_0 Agrobacterium_tumefaciens
359_0 Agrobacterium_rhizogenes
359_1 Agrobacterium_rhizogenes
376_0 Bradyrhizobium_sp.
384_0 Rhizobium_leguminosarum
384_1 Rhizobium_leguminosarum
394_0 Sinorhizobium_fredii_NGR234
396_0 Rhizobium_phaseoli
438_0 Acetobacter_pasteurianus
446_0 Legionella_pneumophila
446_1 Legionella_pneumophila
446_2 Legionella_pneumophila
449_0 Legionella_hackeliae
451_0 Tatlockia_micdadei
452_0 Legionella_spiritensis
454_0 Legionella_israelensis
455_0 Legionella_jamestowniensis
456_0 Legionella_jordanis
458_0 Legionella_rubrilucens
470_0 Acinetobacter_baumannii
470_1 Acinetobacter_baumannii
504_0 Kingella_kingae
511_0 Alcaligenes_faecalis
520_0 Bordetella_pertussis
546_0 Citrobacter_freundii
